Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Afghanistan,AFG,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,364.570572951991,376.758714204473,364.095436021804,389.416357791097,397.985904741902,440.368155343632,444.950137932355,524.823533211573,553.300289383064,569.233387721432,630.427412567377,633.658411271767,630.320014012209,620.05652498092,617.889972323552,618.332789965442
Afghanistan,AFG,GDP per capita (constant LCU),NY.GDP.PCAP.KN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8438.16696264132,8720.26754475891,8427.16968243142,9013.23499156269,9211.58141151527,10192.5396494063,10298.5919119092,12147.3013120721,12806.4099756808,13175.1894493577,14591.5555443637,14666.3386139433,14589.0697514685,14351.5162008239,14301.3702636239,14311.6194978559
Afghanistan,AFG,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1063.63557365313,1099.19450675044,1062.24936045108,1136.12321410151,1161.12488912197,1284.77521302624,1298.14315888036,1531.17399271735,1614.25500126115,1660.73985617959,1839.27357927778,1848.70002621394,1838.96024371997,1809.01648837218,1802.69556548499,1803.98748708124
Afghanistan,AFG,"Population, total",SP.POP.TOTL,8996351,9166764,9345868,9533954,9731361,9938414,10152331,10372630,10604346,10854428,11126123,11417825,11721940,12027822,12321541,12590286,12840299,13067538,13237734,13306695,13248370,13053954,12749645,12389269,12047115,11783050,11601041,11502761,11540888,11777609,12249114,12993657,13981231,15095099,16172719,17099541,17822884,18381605,18863999,19403676,20093756,20966463,21979923,23064851,24118979,25070798,25893450,26616792,27294031,28004331,28803167,29708599,30696958,31731688,32758020,33736494,34656032,35530081
Albania,ALB,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2110.63321786369,2187.64280609897,2205.05294417041,2182.63191793138,2110.44142829518,2104.30858368632,2180.37209056524,2120.42283887391,2051.24357018799,2193.2638245449,1947.8835449081,1379.8169783237,1288.25896491087,1420.57328795871,1547.95435292012,1764.69929632752,1937.29007198088,1738.16646043428,1906.71726144227,2177.89663307357,2337.9423863713,2547.37731608619,2663.14047692587,2827.45577750698,3001.40861793158,3189.39511117692,3383.89372561197,3610.72755370642,3775.38098775973,3928.33863824236,4094.35883191918,4210.08219850607,4276.92155019231,4327.64451802716,4413.56158290959,4524.64443153606,4683.80021257139,4868.1973465433
Albania,ALB,GDP per capita (constant LCU),NY.GDP.PCAP.KN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,119127.038690537,123473.565656758,124456.217769921,123190.744243942,119116.213823784,118770.067647926,123063.196482539,119679.578350664,115775.005378165,123790.823660765,109941.223541339,77878.7660363843,72711.1059645419,80179.108148733,87368.6704685466,99602.0528680739,109343.313374577,98104.5031558492,107617.741942702,122923.47826059,131956.680469287,143777.47565252,150311.30750145,159585.488824904,169403.626138485,180013.842098604,190991.611125907,203794.42403865,213087.690079849,221720.830027064,231091.237859253,237622.823665881,241395.328508024,244258.202502718,249107.479689205,255377.148286373,264360.119237815,274767.746828994
Albania,ALB,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4722.83816576759,3345.50404927247,3123.51250298198,3444.32179181322,3753.16990379019,4278.68966272931,4697.15323281589,4214.35815259863,4623.02640073499,5280.52786659886,5668.57477726735,6176.37067804796,6457.0500213448,6855.44887574892,7277.21490788601,7733.006932655,8204.5882455338,8754.56951284933,9153.78820562203,9524.64930321377,9927.18184117512,10207.7646993323,10369.8233819184,10492.8062825121,10701.1207857986,10970.4522447693,11356.3413288171,11803.4305936025
Albania,ALB,"Population, total",SP.POP.TOTL,1608800,1659800,1711319,1762621,1814135,1864791,1914573,1965598,2022272,2081695,2135479,2187853,2243126,2296752,2350124,2404831,2458526,2513546,2566266,2617832,2671997,2726056,2784278,2843960,2904429,2964762,3022635,3083605,3142336,3227943,3286542,3266790,3247039,3227287,3207536,3187784,3168033,3148281,3128530,3108778,3089027,3060173,3051010,3039616,3026939,3011487,2992547,2970017,2947314,2927519,2913021,2905195,2900401,2895092,2889104,2880703,2876101,2873457
Algeria,DZA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2466.03823773921,2078.22193264149,1628.38872469851,2133.31860696595,2200.81387552427,2276.14699806443,2107.80039069983,2242.45041658515,2414.01669523072,2543.56326506323,2691.80231716574,2321.35040216342,2877.74526458977,2906.70050213366,3039.42057095695,3104.49357283744,3270.68035550656,3345.37801658058,3548.90006516235,3702.77744976188,3620.70353744051,3616.0163127638,3729.25717804288,3809.80376338816,3900.85047953641,3924.70927125649,3825.90401773088,3691.64755540573,3554.62274036993,3613.14659345199,3550.03267154172,3422.63861820934,3403.90345222401,3259.84367977166,3164.8985771543,3223.55756040321,3297.86337455833,3281.10213909542,3397.41019779189,3457.13704649758,3541.07203679729,3600.4372541096,3754.51627515001,3974.17503202227,4091.1442350798,4273.31275146765,4282.32823091748,4359.37574752245,4390.49963275957,4386.03889558891,4463.39467488951,4504.92009813206,4564.43501678967,4596.21962738807,4675.88502447667,4759.5952415194,4827.72425138732,4825.17858541283
Algeria,DZA,GDP per capita (constant LCU),NY.GDP.PCAP.KN,75079.4332581146,63272.224452753,49576.8884290907,64949.6627906433,67004.5808504738,69298.1252324393,64172.7513925561,68272.2205236301,73495.6184295451,77439.7109803868,81952.9029691614,70674.3593512587,87614.0037977269,88495.5565617433,92536.2674464072,94517.4387140803,99577.0559036439,101851.253429586,108047.556402186,112732.409479552,110233.639295025,110090.935030795,113538.594461496,115990.864619377,118762.81508787,119489.204700631,116481.042732945,112393.555787952,108221.785335351,110003.565380056,108082.039016351,104203.480615157,103633.081655948,99247.1293598753,96356.4910939903,98142.3852258927,100404.652829522,99894.3509047578,103435.392157341,105253.797842416,107809.229224536,109616.62490999,114307.616882314,120995.207822213,124556.37785592,130102.564755443,130377.04431431,132722.784048642,133670.362082361,133534.553312829,135889.678217321,137153.934867985,138965.888265477,139933.582323719,142359.024383846,144907.612462206,146981.825007267,146904.321278532
