id2,County,Population,log_pop
1001,"Autauga County, Alabama",55416,10.92262363970244
1003,"Baldwin County, Alabama",208563,12.247996432853757
1005,"Barbour County, Alabama",25965,10.164504756278419
1007,"Bibb County, Alabama",22643,10.027606032372521
1009,"Blount County, Alabama",57704,10.96308177418351
1011,"Bullock County, Alabama",10362,9.245900547374733
1013,"Butler County, Alabama",19998,9.903387547535795
1015,"Calhoun County, Alabama",114611,11.649299064694805
1017,"Chambers County, Alabama",33843,10.42948746227303
1019,"Cherokee County, Alabama",25725,10.15521856070225
1021,"Chilton County, Alabama",43941,10.690603103986417
1023,"Choctaw County, Alabama",12993,9.472166029882736
1025,"Clarke County, Alabama",24392,10.10201048866809
1027,"Clay County, Alabama",13492,9.50985219618154
1029,"Cleburne County, Alabama",14924,9.610725934341048
1031,"Coffee County, Alabama",51226,10.844002494634465
1033,"Colbert County, Alabama",54216,10.900731346815949
1035,"Conecuh County, Alabama",12395,9.42504844446929
1037,"Coosa County, Alabama",10581,9.266815218904162
1039,"Covington County, Alabama",37458,10.530975584289799
1041,"Crenshaw County, Alabama",13913,9.540578933841877
1043,"Cullman County, Alabama",82471,11.320201995375324
1045,"Dale County, Alabama",49226,10.804177218181632
1047,"Dallas County, Alabama",40008,10.59683471309874
1049,"DeKalb County, Alabama",70900,11.169025712520218
1051,"Elmore County, Alabama",81799,11.312020297577238
1053,"Escambia County, Alabama",37728,10.538157803337098
1055,"Etowah County, Alabama",102564,11.538242272954019
1057,"Fayette County, Alabama",16546,9.713899659750128
1059,"Franklin County, Alabama",31628,10.361798083190818
1061,"Geneva County, Alabama",26614,10.189192672103689
1063,"Greene County, Alabama",8422,9.038602608721874
1065,"Hale County, Alabama",14952,9.612600349135398
1067,"Henry County, Alabama",17164,9.750569446111415
1069,"Houston County, Alabama",104056,11.552684494743577
1071,"Jackson County, Alabama",52138,10.861649328485589
1073,"Jefferson County, Alabama",659521,13.399269092937327
1075,"Lamar County, Alabama",13918,9.540938245404796
1077,"Lauderdale County, Alabama",92318,11.4329944177291
1079,"Lawrence County, Alabama",33244,10.411629578672917
1081,"Lee County, Alabama",158991,11.97660287582673
1083,"Limestone County, Alabama",92753,11.43769532496007
1085,"Lowndes County, Alabama",10358,9.245514446983837
1087,"Macon County, Alabama",18963,9.850244991140409
1089,"Madison County, Alabama",356967,12.785398619514426
1091,"Marengo County, Alabama",19673,9.887002416276266
1093,"Marion County, Alabama",29998,10.308885991755306
1095,"Marshall County, Alabama",95157,11.463283438068746
1097,"Mobile County, Alabama",414836,12.935638540385463
1099,"Monroe County, Alabama",21530,9.97720259035841
1101,"Montgomery County, Alabama",226349,12.329833334917522
1103,"Morgan County, Alabama",119012,11.686979607345757
1105,"Perry County, Alabama",9574,9.166806369952454
1107,"Pickens County, Alabama",20324,9.919557732713622
1109,"Pike County, Alabama",33286,10.412892167146671
1111,"Randolph County, Alabama",22652,10.028003427233696
1113,"Russell County, Alabama",58172,10.971159418297601
1115,"St. Clair County, Alabama",88019,11.385307979246239
1117,"Shelby County, Alabama",210622,12.257820336663883
1119,"Sumter County, Alabama",13040,9.475776835480644
1121,"Talladega County, Alabama",80103,11.291068585538618
1123,"Tallapoosa County, Alabama",40727,10.614646542147758
1125,"Tuscaloosa County, Alabama",206102,12.236126470858638
1127,"Walker County, Alabama",64967,11.081634727650705
