County,id2,Population,Deaths,rate,high_rate,low_rate,post_rate_mm,post_low,post_high,post_rate_hyp,post_low_hyp,post_high_hyp,post_rate_hypst,post_low_hypst,post_high_hypst,post_rate_hyp_pty,post_low_hyp_pty,post_high_hyp_pty,log_rate
"Abbeville County, South Carolina",45001,24872,36.0,0.00014474107430041813,0,0,0.00013770528768966477,9.47629136498085e-05,0.00018231161656203322,0.00014004144430248484,9.55543934026193e-05,0.0001852913971292115,0.00014044592055251098,9.710841207915057e-05,0.00018768053962936533,0.00014044592055251098,9.710841207915057e-05,0.00018768053962936533,-8.840564106276526
"Acadia Parish, Louisiana",22001,62645,58.0,9.258520233059303e-05,0,0,9.150235981312352e-05,6.811619532723881e-05,0.00011404480208045782,9.181457535526152e-05,6.907983385459241e-05,0.00011490106866131232,9.169249386801377e-05,6.917388337443068e-05,0.00011611727785822466,9.169249386801377e-05,6.917388337443068e-05,0.00011611727785822466,-9.287381231127279
"Accomack County, Virginia",51001,32947,24.0,7.284426503171761e-05,0,0,7.212679678200857e-05,4.55899822601397e-05,9.960846058347892e-05,7.221831932573653e-05,4.441175424902908e-05,9.986397494071017e-05,7.254666129121893e-05,4.485266354451416e-05,0.00010243967731618738,7.254666129121893e-05,4.485266354451416e-05,0.00010243967731618738,-9.527186751390749
"Ada County, Idaho",16001,444028,368.0,8.287765636401308e-05,0,0,8.27524333227035e-05,7.453127809474445e-05,9.118924648089345e-05,8.277685842076102e-05,7.448655450142335e-05,9.142121175296997e-05,8.279518851179325e-05,7.430562902430628e-05,9.123244325000213e-05,8.279518851179325e-05,7.430562902430628e-05,9.123244325000213e-05,-9.398145057314148
"Adair County, Iowa",19001,7092,0.0,0.0,0,1,1.4133629939905205e-05,2.909865479861679e-08,3.7668644788666225e-05,1.0999731534097186e-05,2.6492455107029515e-10,3.3668866807715656e-05,1.0266542589222882e-05,7.588134989914048e-11,3.21863732123792e-05,1.0266542589222882e-05,7.588134989914048e-11,3.21863732123792e-05,-18.156309941246594
"Adair County, Kentucky",21001,19280,19.0,9.854771784232365e-05,0,0,9.448311485785722e-05,5.5746686682325305e-05,0.00013673586333036962,9.553390570256917e-05,5.690657678548595e-05,0.00013953147854625216,9.637543455306265e-05,5.78297292174882e-05,0.00014153958761882197,9.637543455306265e-05,5.78297292174882e-05,0.00014153958761882197,-9.224969681992143
"Adair County, Missouri",29001,25359,23.0,9.069758271225206e-05,0,0,8.812175990653854e-05,5.634345264923943e-05,0.00012245109222101464,8.913913645711402e-05,5.3528170290393e-05,0.00012491347867586022,8.933916102513856e-05,5.384482895260595e-05,0.00012351324821628946,8.933916102513856e-05,5.384482895260595e-05,0.00012351324821628946,-9.307979852661934
"Adair County, Oklahoma",40001,22098,0.0,0.0,0,1,5.4451753167672295e-06,6.395096238964757e-09,1.4854765504869114e-05,3.999846996861111e-06,3.4188932982783203e-10,1.209500633280853e-05,3.6461525386230058e-06,1.69797404145554e-11,1.173838798299192e-05,3.6461525386230058e-06,1.69797404145554e-11,1.173838798299192e-05,-18.156309941246594
"Adams County, Colorado",8001,498187,315.0,6.322926933059273e-05,0,0,6.324372688687634e-05,5.6468957437910104e-05,7.00895478995557e-05,6.318667817190977e-05,5.5865123601852895e-05,7.004426010528653e-05,6.314910960849055e-05,5.6027016733189105e-05,7.002043581775215e-05,6.314910960849055e-05,5.6027016733189105e-05,7.002043581775215e-05,-9.6687432417
"Adams County, Idaho",16003,3900,0.0,0.0,0,1,2.1522465718707354e-05,5.23505751022202e-08,5.843699772403747e-05,1.7304075757995196e-05,1.2721973748619194e-09,5.2390345746341996e-05,1.616388268792472e-05,9.894214808175558e-11,5.0705422875092436e-05,1.616388268792472e-05,9.894214808175558e-11,5.0705422875092436e-05,-18.156309941246594
