County,id2,Population,Deaths,rate,high_rate,low_rate,post_rate_mm,post_low,post_high,post_rate_hyp,post_low_hyp,post_high_hyp,post_rate_hypypst,post_low_hypst,post_high_hypst,post_rate_hyp_pty,post_low_hyp_pty,post_high_hyp_pty,log_rate
"Abbeville County, South Carolina",45001,24872,0.0,0.0,0,1,1.7591515146217035e-06,6.565674512322327e-14,6.818852843422479e-06,1.3080174378577558e-06,4.702013807956251e-19,5.718739140954998e-06,1.1485414517262533e-06,1.1364283220989108e-18,5.184429059323612e-06,1.1485414517262533e-06,1.1364283220989108e-18,5.184429059323612e-06,-16.977315754707732
"Acadia Parish, Louisiana",22001,62645,24.0,3.831111820576263e-05,0,0,3.772800250722573e-05,2.306758938568453e-05,5.276241396662591e-05,3.8016437756191386e-05,2.3198689195830367e-05,5.3124477403933756e-05,3.7863443173871556e-05,2.333698033792916e-05,5.300111919903501e-05,3.7863443173871556e-05,2.333698033792916e-05,5.300111919903501e-05,-10.169770411325754
"Accomack County, Virginia",51001,32947,0.0,0.0,0,1,1.3821202864482267e-06,4.948312205088016e-16,5.381102228605333e-06,1.0221224374319261e-06,9.867871430615914e-16,4.388393456758151e-06,8.902447114659753e-07,2.783369116634452e-22,4.021780923168588e-06,8.902447114659753e-07,2.783369116634452e-22,4.021780923168588e-06,-16.977315754707732
"Ada County, Idaho",16001,444028,287.0,6.463556352302107e-05,0,0,6.440154961068587e-05,5.6692329289522873e-05,7.164953403648987e-05,6.44914982426726e-05,5.70769101189921e-05,7.188105583088988e-05,6.447728099851004e-05,5.7310781980953256e-05,7.221717109324019e-05,6.447728099851004e-05,5.7310781980953256e-05,7.221717109324019e-05,-9.646745779723458
"Adair County, Iowa",19001,7092,0.0,0.0,0,1,5.194177691628894e-06,2.1657753825270932e-16,2.0222702073971947e-05,4.05635450160712e-06,4.965169088906672e-16,1.7649220975162725e-05,3.4528959046028486e-06,2.835975719581594e-17,1.5557577658451818e-05,3.4528959046028486e-06,2.835975719581594e-17,1.5557577658451818e-05,-16.977315754707732
"Adair County, Kentucky",21001,19280,0.0,0.0,0,1,2.2653179056232928e-06,6.439305750702038e-14,8.785969300404948e-06,1.6762111964394901e-06,1.5168719025789247e-17,7.410328844053754e-06,1.4529992101604151e-06,1.9881508492523938e-19,6.832715950643832e-06,1.4529992101604151e-06,1.9881508492523938e-19,6.832715950643832e-06,-16.977315754707732
"Adair County, Missouri",29001,25359,0.0,0.0,0,1,1.7154171814619877e-06,4.7559091912435e-13,6.836348496408526e-06,1.2786811410994675e-06,6.526397470409099e-18,5.473334579273282e-06,1.133893177645111e-06,3.195341500762224e-19,5.275195415632589e-06,1.133893177645111e-06,3.195341500762224e-19,5.275195415632589e-06,-16.977315754707732
"Adair County, Oklahoma",40001,22098,0.0,0.0,0,1,1.9806878405395103e-06,4.401461651533209e-15,7.700179258040079e-06,1.4408071484090313e-06,1.188956811525793e-16,6.140052327477175e-06,1.2983152864398175e-06,7.401653291131479e-17,6.0005156278850965e-06,1.2983152864398175e-06,7.401653291131479e-17,6.0005156278850965e-06,-16.977315754707732
"Adams County, Colorado",8001,498187,388.0,7.788240158815867e-05,1,0,7.763065889931151e-05,7.005160289782701e-05,8.537956334056691e-05,7.770308559805597e-05,7.005191415663823e-05,8.552061413064554e-05,7.78147851814273e-05,7.016295157802927e-05,8.531514286027406e-05,7.78147851814273e-05,7.016295157802927e-05,8.531514286027406e-05,-9.46031054090236
"Adams County, Idaho",16003,3900,0.0,0.0,0,1,8.027640450092834e-06,1.4290168301405005e-15,3.1310505807053275e-05,6.529693871859294e-06,1.9399293816489036e-15,2.717706623185562e-05,5.663586077281438e-06,1.761695957305817e-17,2.5461448393219844e-05,5.663586077281438e-06,1.761695957305817e-17,2.5461448393219844e-05,-16.977315754707732
"Adams County, Illinois",17001,66578,25.0,3.754994142209138e-05,0,0,3.712693349838039e-05,2.3455648033033513e-05,5.1501410282429044e-05,3.738257959140519e-05,2.3255653957608768e-05,5.154409948822272e-05,3.721246067092386e-05,2.3393431815305963e-05,5.1758858479151565e-05,3.721246067092386e-05,2.3393431815305963e-05,5.1758858479151565e-05,-10.189838739752913
"Adams County, Indiana",18001,35232,0.0,0.0,0,1,1.2741534548639532e-06,7.914296019395521e-17,5.023444220352928e-06,9.65476739801185e-07,6.450102903019612e-17,4.261466886622528e-06,8.244554296143977e-07,1.8885725785257094e-23,3.745659787386993e-06,8.244554296143977e-07,1.8885725785257094e-23,3.745659787386993e-06,-16.977315754707732
"Adams County, Iowa",19003,3693,0.0,0.0,0,1,8.35631801690874e-06,2.1367689390862657e-14,3.2460075756880055e-05,6.509221383942558e-06,2.6614057036076805e-16,2.7975253014175894e-05,6.003737359460158e-06,1.533553571687831e-16,2.7098847270528263e-05,6.003737359460158e-06,1.533553571687831e-16,2.7098847270528263e-05,-16.977315754707732
"Adams County, Mississippi",28001,31248,0.0,0.0,0,1,1.4153142310554403e-06,9.390269567502132e-15,5.4437832797324585e-06,1.071692036554958e-06,2.2632177729202195e-17,4.79825060971951e-06,2.2640257765518553e-06,5.62200992858592e-13,7.538122964100279e-06,2.2640257765518553e-06,5.62200992858592e-13,7.538122964100279e-06,-16.977315754707732
"Adams County, Nebraska",31001,31684,0.0,0.0,0,1,1.4145944146070304e-06,9.658870789894992e-14,5.549084877367456e-06,1.0462115739607511e-06,1.585905340486917e-18,4.502068883938541e-06,9.043053095445383e-07,1.7801092224281008e-17,4.010954663475231e-06,9.043053095445383e-07,1.7801092224281008e-17,4.010954663475231e-06,-16.977315754707732
"Adams County, North Dakota",38001,2305,0.0,0.0,0,1,1.0781205987026868e-05,3.5048082922959226e-12,4.204839460328432e-05,9.24004259555918e-06,1.9511707293590616e-16,4.0272082145553214e-05,8.104167611221025e-06,1.163952232320216e-16,3.639103263151686e-05,8.104167611221025e-06,1.163952232320216e-16,3.639103263151686e-05,-16.977315754707732
"Adams County, Ohio",39001,27907,11.0,3.941663381947182e-05,0,0,3.8182117822487865e-05,1.7943604314761593e-05,6.0634146081946225e-05,3.882838409110367e-05,1.804669657392322e-05,6.154783419359205e-05,3.8398814644433536e-05,1.7841310261508387e-05,6.10795330895763e-05,3.8398814644433536e-05,1.7841310261508387e-05,6.10795330895763e-05,-10.141322652593328
